"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.866083226E-3,2.791744342E0,-1.177653557E1,-2.112176262E0,1.228584206E1
1.892108331E-2,2.298028842E0,-1.383423391E1,-2.345328138E0,1.421856281E1
2.897508326E-2,1.687531873E0,-1.376458889E1,-3.524203413E0,1.430844788E1
3.902908333E-2,7.908742163E-1,-1.454624351E1,-3.331826509E0,1.494388671E1
4.908408329E-2,6.217671847E-1,-1.228937614E1,-1.844877230E0,1.244262562E1
5.913808325E-2,-1.034677966E0,-1.035712397E1,6.114363241E-1,1.042662121E1
6.919208332E-2,-1.433939299E0,-8.682411824E0,2.465094903E0,9.138771792E0
7.924708328E-2,-7.604160699E-1,-5.001293702E0,2.772622193E0,5.768761142E0
8.930108324E-2,-1.483248577E-1,8.803164428E-1,-1.031168357E-1,8.986603278E-1
9.935508331E-2,-1.175339463E0,3.743906109E0,-2.870250814E0,4.861748198E0
1.094100833E-1,-4.773870049E0,3.803697397E0,-2.418424766E0,6.565571375E0
1.194640832E-1,-7.000563152E0,2.992191573E0,-4.535667640E-1,7.626717359E0
1.295180833E-1,-5.938373744E0,2.607138389E0,1.282294977E0,6.611031214E0
1.395730833E-1,-2.979399327E0,2.969859302E0,5.621767482E0,7.021478067E0
1.496270833E-1,-6.304789513E-1,3.591742846E0,1.452045378E1,1.497136261E1
1.596810833E-1,-6.544557515E-1,1.921475170E0,9.072798838E0,9.297099436E0
1.697360832E-1,-6.800422901E-1,3.862781757E-1,2.438251505E0,2.560612963E0
1.797900833E-1,9.726088947E-1,-4.013552213E-1,4.542338582E-1,1.146029002E0
1.898440833E-1,3.025599932E0,-9.719136608E-1,-8.178360200E-1,3.281421470E0
1.998990832E-1,9.755450740E-1,-1.653148783E0,-1.596575217E0,2.496726159E0
2.099530833E-1,-5.152914342E-1,-8.868968993E-1,-1.374303254E0,1.714882156E0
2.200069582E-1,-2.346013725E0,8.649552226E-2,-1.282642302E0,2.675151051E0
2.300619583E-1,-3.322803963E0,1.008121374E0,-1.340987574E0,3.722308767E0
2.401159583E-1,-3.249477540E0,1.580426962E0,-1.479096469E0,3.904430820E0
2.501699583E-1,-1.834949242E0,1.694938248E0,-1.935337749E0,3.159966233E0
2.602249583E-1,-2.468445942E-1,1.182359045E0,-2.277944825E0,2.578359516E0
2.702789583E-1,4.074079666E-1,4.891909254E-1,-2.242306631E0,2.330928579E0
2.803329583E-1,6.083840775E-1,3.634845597E-1,-1.676517180E0,1.820154407E0
2.903879583E-1,1.211843338E0,3.486653763E-1,-1.699662799E-1,1.272407307E0
3.004419582E-1,1.577027975E0,1.951290123E0,3.700394053E0,4.470734451E0
3.104959583E-1,4.932630433E0,8.431544638E0,4.317005163E0,1.067980906E1
3.205509583E-1,-6.253626376E-1,3.220684973E0,2.863226554E0,4.354532859E0
3.306049582E-1,-1.543414087E0,1.543557928E0,6.771432406E-1,2.285436739E0
3.406589583E-1,4.892651850E-1,1.888265909E0,1.285276107E-1,1.954852401E0
3.507139583E-1,7.269346207E-1,1.022880916E0,9.303083825E-1,1.562111711E0
3.607679583E-1,1.232645100E0,4.898013747E-1,6.286195368E-1,1.467815333E0
3.708219583E-1,1.314918348E0,1.708129567E-1,1.586724194E-1,1.335426622E0
3.808769583E-1,1.119317874E0,1.187350228E0,-3.734523082E-1,1.673959287E0
3.909309583E-1,4.890485457E-1,3.085716618E0,-1.037970825E0,3.292142002E0
4.009849583E-1,-8.579862186E-1,5.394645254E0,-2.664967936E0,6.077860797E0
4.110399582E-1,-2.544959682E0,6.282885259E0,-3.531918229E0,7.643684539E0
4.210939583E-1,-2.480547924E0,5.589891971E0,-1.212194463E0,6.234534920E0
4.311479583E-1,-1.530573309E0,3.453231663E0,2.052735221E0,4.298974932E0
4.412029582E-1,-9.944447368E-1,1.856580432E0,2.967323949E0,3.638794121E0
4.512569583E-1,-1.316382198E0,1.392373490E0,2.329220229E0,3.016095638E0
4.613119583E-1,-1.693610784E0,1.072570555E0,1.459090805E0,2.479449750E0
4.713659583E-1,-1.408915409E0,-9.871152520E-2,8.231909001E-1,1.634756818E0
4.814199583E-1,-3.005541936E-1,-2.413092105E0,1.516564257E0,2.865887904E0
4.914749583E-1,6.378367952E-1,-3.802846043E0,2.123760180E0,4.402139378E0
5.015289583E-1,-3.743719290E-1,-1.771289436E0,2.146018192E0,2.807670687E0
5.115829583E-1,-2.304478320E0,3.725048254E0,5.872288879E-1,4.419439171E0
5.216379582E-1,-1.378967461E1,2.025880129E1,-1.044966434E0,2.452888319E1
5.316919583E-1,-1.029588725E1,1.210610803E1,-3.066449457E0,1.618537173E1
5.417459583E-1,-1.777254619E0,-5.089385514E0,-1.166297328E-1,5.392038704E0
5.518009582E-1,1.461485386E0,-1.391324967E1,9.230321074E-1,1.402021555E1
5.618549583E-1,2.123246503E0,-1.489067492E1,3.334013368E0,1.540636298E1
5.719089583E-1,2.450056449E-1,-9.124652531E0,3.109110743E0,9.642918707E0
5.819639583E-1,-6.227783145E-1,-4.324221212E0,1.167322930E0,4.522099595E0
5.920179583E-1,7.556982440E-1,-4.777215534E0,-6.990170896E-1,4.886869446E0
6.020719582E-1,2.154521213E0,-6.854305578E0,-1.483632739E0,7.336527292E0
6.121269583E-1,3.829415790E0,-7.529329203E0,-2.066199020E0,8.696229179E0
6.221809583E-1,5.331756111E0,-6.999106611E0,-3.067828231E0,9.318083850E0
6.322349582E-1,5.408955730E0,-6.016736374E0,-2.724383833E0,8.536989279E0
6.422899583E-1,5.079641714E0,-5.395308913E0,-1.690537634E0,7.600660214E0
6.523439583E-1,4.246716954E0,-4.621429921E0,-5.318416858E-1,6.298815363E0
6.623979583E-1,2.754205803E0,-3.888130606E0,6.132828748E-1,4.804094618E0
6.724529583E-1,1.509465591E0,-3.479786208E0,2.223498477E0,4.396742419E0
6.825069583E-1,5.770877329E-1,-3.097279487E0,3.613640084E0,4.794222057E0
6.925609583E-1,-2.395632027E-1,-2.503174894E0,3.650281076E0,4.432586944E0
7.026159583E-1,-6.816875504E-1,-1.740963437E0,2.488698943E0,3.112759874E0
7.126699582E-1,5.851007572E-1,-3.506820810E-1,1.651746036E0,1.787060655E0
7.227239583E-1,2.160599978E0,1.016052538E0,1.692495282E0,2.926618407E0
7.327789583E-1,3.042516219E0,1.878112219E0,1.417512424E0,3.846238672E0
7.428329582E-1,3.454776497E0,2.778956482E0,8.039956605E-1,4.506050244E0
7.528869583E-1,3.224360240E0,3.723412787E0,5.592159740E-1,4.957118543E0
7.629419583E-1,2.604791024E0,4.506788242E0,2.966807055E-1,5.213836973E0
7.729959583E-1,1.822640415E0,4.713676765E0,1.120373297E-1,5.055029089E0
7.830499583E-1,1.104996874E0,4.431969609E0,2.101641333E-1,4.572476536E0
7.931049583E-1,8.568756862E-1,4.120277932E0,9.709862924E-1,4.318997633E0
8.031589583E-1,5.174917415E-1,3.457966154E0,1.471003922E0,3.793307285E0
8.132129583E-1,2.410032257E-2,2.580224825E0,1.138785082E0,2.820456069E0
8.232679582E-1,-9.499450868E-1,1.648966269E0,6.373933569E-1,2.006926934E0
8.333219583E-1,-1.699169440E0,8.892199981E-1,4.592203637E-1,1.971997042E0
8.433759583E-1,-2.142600933E0,7.989284635E-2,2.398469388E-1,2.157463366E0
8.534309582E-1,-2.550977637E0,-5.966159713E-1,-2.016516837E-1,2.627565588E0
