"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.438708319E-3,2.256037062E-1,-2.458140224E-2,4.574107236E-1,5.106132075E-1
1.849370834E-2,7.311987028E-2,6.057744652E-2,3.211530572E-1,3.348961460E-1
2.854770835E-2,1.837210507E-1,2.162999091E-1,1.417715907E-2,2.841479667E-1
3.860170837E-2,8.481693283E-2,4.298630288E-1,-1.995262939E-1,4.814424967E-1
4.865670833E-2,1.826126379E-1,3.021779653E-1,-2.383915669E-1,4.260157713E-1
5.871070834E-2,1.058110683E-1,7.384185523E-2,-1.594909930E-1,2.051486744E-1
6.876470835E-2,1.462922193E-2,6.209772259E-2,-8.394905984E-2,1.054399636E-1
7.881870837E-2,-2.348124862E-2,1.621821740E-1,-6.583029270E-2,1.766013988E-1
8.887370833E-2,6.798119098E-4,1.409494722E-1,-3.365891218E-2,1.449142444E-1
9.892770834E-2,-1.213560373E-2,4.277238250E-4,-5.923814178E-3,1.351101032E-2
1.089817084E-1,-3.203981817E-2,8.505798429E-2,1.039447832E-1,1.380794286E-1
1.190357084E-1,-4.372737899E-2,1.931770948E-1,2.932045358E-1,3.538338218E-1
1.290907083E-1,-1.547261701E-1,8.167069227E-2,4.140284765E-1,4.494773287E-1
1.391447083E-1,-2.210660476E-1,-1.450577259E-2,2.786186564E-1,3.559620353E-1
1.491987084E-1,6.914983012E-2,-2.348972708E-2,1.852345294E-1,1.991112683E-1
1.592537083E-1,8.134383291E-2,2.731672972E-2,6.135600328E-2,1.054873548E-1
1.693077083E-1,2.116757116E-1,-1.533081472E-1,1.292819381E-3,2.613650058E-1
1.793617083E-1,1.639307108E-1,3.374165028E-2,-3.105105400E-2,1.702232207E-1
1.894157084E-1,3.276370347E-2,5.873762012E-2,-2.259633100E-1,2.357604414E-1
1.994707083E-1,4.117653117E-2,6.976576120E-2,-2.442598325E-1,2.573434163E-1
2.095247083E-1,1.100437946E-1,1.191063210E-1,-2.618207753E-1,3.079708928E-1
2.195787083E-1,9.968713313E-2,4.378190428E-2,-2.022750700E-1,2.297163111E-1
2.296337084E-1,-4.353493251E-2,-1.663328201E-2,-2.883320510E-1,2.920741825E-1
2.396877083E-1,-4.859555148E-2,-9.340196103E-2,-4.220964646E-1,4.350297454E-1
2.497417083E-1,-1.139259072E-1,-1.379825950E-1,-5.680505687E-1,5.955667531E-1
2.597957083E-1,-2.050656536E-1,-5.391805261E-2,-7.927818704E-1,8.206474107E-1
2.698507084E-1,-1.288927328E-1,-7.490283251E-4,-1.085905715E0,1.093528746E0
2.799047083E-1,-5.483577311E-2,-3.022162646E-2,-1.522854107E0,1.524140722E0
2.899587083E-1,1.356419545E-1,-1.105497980E-1,-2.317960830E0,2.324556390E0
3.000127084E-1,3.085398822E-1,-2.434029230E-1,-3.294959230E0,3.318312548E0
3.100677084E-1,3.631128229E-1,-5.284371445E-1,-4.451091759E0,4.497033976E0
3.201217083E-1,6.288772528E-1,-5.918531218E-1,-5.846672446E0,5.910106210E0
3.301757083E-1,-9.787951027E-1,-4.464150345E-1,-6.693597195E0,6.779496267E0
3.402307084E-1,-5.526310225E-1,-2.506637616E0,-6.012878382E0,6.537839063E0
3.502847084E-1,-1.106863305E-2,-3.676956951E0,-5.430134345E0,6.557933664E0
3.603387083E-1,-1.579081517E-1,-2.862378708E0,-4.484786924E0,5.322730559E0
3.703927083E-1,-1.709278545E-1,-1.881826663E0,-4.569455191E0,4.944735449E0
3.804477084E-1,2.142261940E-1,-1.753497821E0,-5.180443618E0,5.473357612E0
3.905017083E-1,-7.257564068E-3,-1.683870931E0,-5.505179849E0,5.756950508E0
4.005557083E-1,-5.283257550E-1,-1.444706362E0,-5.335097795E0,5.552438478E0
4.106107083E-1,-8.731454176E-1,-1.270919512E0,-5.299603441E0,5.519367352E0
4.206647084E-1,-9.308302465E-1,-1.727854272E0,-5.000096776E0,5.371488910E0
4.307187083E-1,-8.842188746E-1,-2.353836130E0,-4.610594446E0,5.251663421E0
4.407727083E-1,-8.019438726E-1,-2.632650375E0,-3.947671049E0,4.812283105E0
4.508277084E-1,-4.289374146E-1,-2.916486210E0,-3.546382486E0,4.611584094E0
4.608817084E-1,9.278361797E-2,-3.524485833E0,-3.695568346E0,5.107625142E0
4.709357083E-1,2.925590032E-1,-4.145316294E0,-4.223165538E0,5.924893679E0
4.809907083E-1,4.492006481E-2,-4.244585643E0,-4.750270395E0,6.370525404E0
4.910447084E-1,-3.272715837E-1,-3.498859826E0,-4.230617230E0,5.499749896E0
5.010987084E-1,-4.169690412E-1,-2.537128506E0,-2.406152630E0,3.521427937E0
5.111527083E-1,-4.881512904E-1,-1.871049367E0,-1.605370599E-1,1.940332333E0
5.212077083E-1,-1.013521278E0,-1.317558365E0,2.195086856E0,2.753469036E0
5.312617084E-1,-1.643259387E0,-9.960269934E-1,4.575991793E0,4.963070831E0
5.413157084E-1,-2.750688118E0,-1.571339219E0,4.481699009E0,5.488261844E0
5.513707083E-1,-3.527284895E0,-2.228531760E0,3.986665546E0,5.770753392E0
5.614247083E-1,-4.745921236E0,-2.406413416E0,3.728731415E0,6.497540447E0
5.714787084E-1,-6.738152393E0,-2.468293329E0,3.345368661E0,7.917490834E0
5.815327084E-1,-8.867948070E0,-2.397542020E0,3.151503056E0,9.711883557E0
5.915877083E-1,-1.086850976E1,-1.960438676E0,3.201740579E0,1.149865065E1
6.016417083E-1,-1.257637152E1,-1.385925765E0,3.480382040E0,1.312246051E1
6.116957084E-1,-1.347547097E1,-8.434070635E-1,3.739670678E0,1.401016739E1
6.217507083E-1,-1.337192029E1,-3.495839739E-1,3.806285375E0,1.390748969E1
6.318047083E-1,-1.220469209E1,-1.191972452E-1,3.442739419E0,1.268152876E1
6.418587083E-1,-1.106301388E1,-2.977969390E-1,2.899837433E0,1.144063006E1
6.519127084E-1,-1.069412473E1,-8.306159869E-1,2.625300718E0,1.104293578E1
6.619677083E-1,-1.083990050E1,-1.479352577E0,2.385155132E0,1.119736093E1
6.720217083E-1,-1.108868315E1,-2.110817661E0,2.041228486E0,1.147087874E1
6.820757083E-1,-1.124440386E1,-2.581284048E0,1.947134507E0,1.170004181E1
6.921297084E-1,-1.136731116E1,-2.619785624E0,2.072095937E0,1.184789523E1
7.021847083E-1,-1.130540903E1,-1.686525567E0,2.267214600E0,1.165319286E1
7.122387083E-1,-1.060573822E1,1.637020116E-1,2.458777571E0,1.088825370E1
7.222927083E-1,-9.326182081E0,2.175555694E0,2.779726560E0,9.971840078E0
7.323477084E-1,-7.712499080E0,4.114784473E0,3.570189425E0,9.442475621E0
7.424017083E-1,-5.799819292E0,6.012950887E0,4.629837048E0,9.551380700E0
7.524557083E-1,-3.692648832E0,7.543387663E0,5.184361253E0,9.869952099E0
7.625097084E-1,-1.453814278E0,8.502435696E0,5.117204812E0,1.002949519E1
7.725647084E-1,9.634504008E-1,9.218700902E0,4.527111994E0,1.031539752E1
7.826187083E-1,3.261592678E0,9.939952029E0,3.524005777E0,1.103898772E1
7.926727083E-1,5.010611824E0,1.060232930E1,2.169446815E0,1.192569146E1
8.027277084E-1,6.124152065E0,1.118683919E1,7.038772953E-1,1.277286393E1
8.127817084E-1,6.688131217E0,1.137218657E1,-5.552826251E-1,1.320477434E1
8.228357083E-1,7.186513381E0,1.158037669E1,-1.635227652E0,1.372680109E1
8.328897083E-1,7.521274078E0,1.176940080E1,-2.398188137E0,1.417179118E1
8.429480834E-1,7.750830503E0,1.163143808E1,-2.997683862E0,1.429516820E1
8.530020834E-1,7.946298829E0,1.098971435E1,-3.390962909E0,1.397913145E1
8.630560833E-1,8.227477981E0,1.046217154E1,-3.822295636E0,1.384768468E1
