"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.182375047E-3,-1.325536745E-1,6.212008819E-2,1.215565968E-1,1.902771352E-1
1.323537499E-2,-1.202931596E-1,9.243146941E-2,1.366313034E-1,2.041620285E-1
2.328837500E-2,1.540741324E-3,4.720208690E-2,1.194632936E-1,1.284596800E-1
3.334137500E-2,4.512647152E-2,8.570702523E-2,8.291644156E-2,1.275038387E-1
4.339437501E-2,1.160145327E-1,5.877533466E-2,1.012287515E-1,1.648064680E-1
5.344737502E-2,1.474507720E-1,3.175388932E-2,9.158669293E-2,1.764600861E-1
6.350037502E-2,7.626267560E-2,8.380448744E-2,6.818789005E-2,1.322451366E-1
7.355337503E-2,5.328531079E-2,5.320059925E-2,1.277955759E-1,1.483284778E-1
8.360637503E-2,3.295614995E-2,6.236479416E-2,1.411073470E-1,1.577553763E-1
9.365837503E-2,-1.757263720E-2,7.618044913E-2,1.160748321E-1,1.399486515E-1
1.037113750E-1,1.330892064E-2,-3.080722511E-2,6.062276244E-2,6.929164317E-2
1.137643750E-1,-4.637148991E-2,2.458754182E-2,5.659169197E-2,7.718472575E-2
1.238173750E-1,-2.812342621E-2,5.465728685E-2,7.142198503E-2,9.423081266E-2
1.338703750E-1,5.056262791E-2,6.385232583E-2,8.557166219E-2,1.181363967E-1
1.439233750E-1,5.791703649E-2,8.329621822E-2,5.376982570E-2,1.148208920E-1
1.539763750E-1,3.472814865E-2,8.132789925E-2,3.635798693E-2,9.561472020E-2
1.640293750E-1,5.580670327E-2,8.592454165E-2,1.152357566E-1,1.541969345E-1
1.740823750E-1,6.535922639E-2,8.910674259E-2,2.077012861E-1,2.352693441E-1
1.841353750E-1,1.245953947E-2,5.341577679E-2,1.885194951E-1,1.963366634E-1
1.941883750E-1,8.943389431E-3,3.529759437E-2,1.612217689E-1,1.652826765E-1
2.042413750E-1,5.771508828E-2,7.943267047E-2,1.906630844E-1,2.144597685E-1
2.142943750E-1,2.314408354E-2,1.330120231E-1,2.135841697E-1,2.526777483E-1
2.243473750E-1,3.083660737E-2,1.013480347E-1,1.855841929E-1,2.136909290E-1
2.344003750E-1,2.212973781E-2,1.010455875E-1,1.709094357E-1,1.997748014E-1
2.444533750E-1,5.047565058E-2,3.440516308E-2,1.635887218E-1,1.746218097E-1
2.545063750E-1,3.505720071E-2,2.277548969E-2,1.468610072E-1,1.526954017E-1
2.645593750E-1,-4.634203456E-2,1.039708033E-2,7.895202935E-2,9.213634671E-2
2.746123750E-1,-1.593809192E-1,2.277914420E-2,7.362580061E-2,1.770365085E-1
2.846653750E-1,-2.256827898E-1,5.852244258E-2,9.393727362E-2,2.513599198E-1
2.947183750E-1,-2.157616729E-1,8.122089520E-2,1.986883879E-3,2.305512546E-1
3.047713750E-1,-1.214662573E-1,1.158827510E-1,5.491529524E-2,1.766311221E-1
3.148243750E-1,3.218782581E-2,1.138261391E-1,2.968105137E-2,1.219565943E-1
3.248773750E-1,1.172892988E-1,7.544735447E-2,3.416118801E-2,1.435829714E-1
3.349303750E-1,2.039841380E-1,9.376258805E-2,4.416401982E-2,2.288043097E-1
3.449833750E-1,2.096638309E-1,6.878401369E-2,6.005090475E-3,2.207401723E-1
3.550363750E-1,2.142346725E-1,-2.654782087E-2,-3.222166657E-2,2.182647876E-1
3.650883750E-1,1.682053178E-1,-1.537159905E-2,-1.032910645E-1,1.979857545E-1
3.751413750E-1,2.133752049E-1,-5.521540359E-2,-7.403218210E-2,2.325048017E-1
3.851943750E-1,3.109387024E-1,-5.814748988E-2,-1.142721355E-1,3.363363319E-1
3.952473750E-1,4.156900359E-1,-9.894044369E-2,-2.110915017E-1,4.765994539E-1
4.053003750E-1,3.992764630E-1,-8.786684051E-2,-2.278157079E-1,4.680195213E-1
