"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.303625043E-3,4.795301557E-3,-7.240345187E0,-1.735384901E-1,7.242426184E0
1.835762500E-2,-8.414318740E-2,-6.985225321E0,-8.050051823E-2,6.986195903E0
2.841162507E-2,-1.007948881E-1,-6.799589088E0,3.146211326E-2,6.800408902E0
3.846562502E-2,-1.629309100E-1,-6.632530628E0,1.699421601E-1,6.636707720E0
4.851962498E-2,-3.603948909E-1,-6.477112806E0,3.605654834E-1,6.497144161E0
5.857362505E-2,-6.837862623E-1,-6.380025637E0,5.559496097E-1,6.440603291E0
6.862762501E-2,-1.000861471E0,-6.260409147E0,7.285291564E-1,6.381629972E0
7.868162508E-2,-1.265599422E0,-6.130557105E0,8.865985452E-1,6.322304113E0
8.873562503E-2,-1.556787838E0,-5.987407326E0,1.007039639E0,6.267915418E0
9.878962499E-2,-1.909322902E0,-5.813376061E0,1.071958790E0,6.212081038E0
1.088436251E-1,-2.314109854E0,-5.620990387E0,1.104492844E0,6.178231283E0
1.188976250E-1,-2.700832418E0,-5.377602959E0,1.116791731E0,6.120484712E0
1.289516251E-1,-3.101466678E0,-5.078856432E0,1.114866974E0,6.054486484E0
1.390056250E-1,-3.592656766E0,-4.793501784E0,1.180481066E0,6.105602144E0
1.490596250E-1,-4.095962285E0,-4.543087757E0,1.269737351E0,6.247302326E0
1.591136251E-1,-4.560930535E0,-4.316118726E0,1.367545920E0,6.426597081E0
1.691676250E-1,-4.970115763E0,-4.073910096E0,1.414984526E0,6.580347664E0
1.792216250E-1,-5.296009158E0,-3.817432214E0,1.417979470E0,6.680656217E0
1.892756250E-1,-5.452203491E0,-3.526574166E0,1.390184438E0,6.640471446E0
1.993296250E-1,-5.517432690E0,-3.239691347E0,1.374426631E0,6.544212105E0
2.093836251E-1,-5.611988599E0,-2.981221319E0,1.350361830E0,6.496581690E0
2.194376250E-1,-5.753909293E0,-2.759408655E0,1.376632200E0,6.528163945E0
2.294916250E-1,-5.802035387E0,-2.521214724E0,1.480293540E0,6.497030651E0
2.395456251E-1,-5.662231969E0,-2.266651952E0,1.600735511E0,6.305627337E0
2.495996250E-1,-5.492853334E0,-2.101396919E0,1.723276194E0,6.128375609E0
2.596536251E-1,-5.460390177E0,-1.993342128E0,1.877315828E0,6.108484955E0
2.697076250E-1,-5.514806705E0,-1.897181159E0,1.984161415E0,6.160299170E0
2.797616250E-1,-5.553633386E0,-1.762608660E0,2.064718505E0,6.181641820E0
2.898156251E-1,-5.609321099E0,-1.550598561E0,2.179820945E0,6.214536060E0
2.998696250E-1,-5.641116503E0,-1.274829545E0,2.281808227E0,6.217236891E0
3.099236251E-1,-5.677066355E0,-9.662254894E-1,2.392816885E0,6.236044158E0
3.199776250E-1,-5.745643085E0,-6.206339943E-1,2.568594128E0,6.324181908E0
3.300316250E-1,-5.709785035E0,-2.215489545E-1,2.701611852E0,6.320556596E0
3.400856251E-1,-5.630901418E0,1.877251509E-1,2.713912640E0,6.253608024E0
3.501396250E-1,-5.538565696E0,5.848665762E-1,2.595940971E0,6.144647135E0
3.601936250E-1,-5.494284148E0,1.057961871E0,2.351587583E0,6.069300271E0
3.702476250E-1,-5.439217994E0,1.579406038E0,2.061784957E0,6.027484801E0
3.803016250E-1,-5.231448880E0,2.161755973E0,1.768037800E0,5.930194258E0
3.903556251E-1,-4.960753201E0,2.735807539E0,1.502041528E0,5.860873993E0
4.004096250E-1,-4.559817225E0,3.239185563E0,1.313161698E0,5.745315473E0
4.104636250E-1,-4.179557004E0,3.652018869E0,1.061816356E0,5.650963860E0
4.205176251E-1,-3.918719730E0,3.907263281E0,8.070500998E-1,5.592351968E0
4.305716250E-1,-3.664178739E0,4.072627217E0,5.974182093E-1,5.510844472E0
4.406256251E-1,-3.526729994E0,4.136009865E0,2.661241798E-1,5.441987150E0
