"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.487499970E-4,3.765029468E-1,4.357371417E-1,1.009010736E0,1.161776222E0
9.304250008E-3,1.654248936E-1,3.851207194E-1,1.684513248E0,1.735876794E0
1.935724996E-2,-9.153362945E-2,1.123472321E-1,2.128317500E0,2.133245342E0
2.941024996E-2,-2.978336303E-1,-2.937819484E-1,2.255445324E0,2.293915063E0
3.946324997E-2,-4.730619657E-1,-7.761672994E-1,2.090551504E0,2.279611566E0
4.951624997E-2,-5.297499906E-1,-1.115651378E0,1.771431524E0,2.159463519E0
5.956924998E-2,-3.817495072E-1,-1.138262561E0,1.443561185E0,1.877563112E0
6.962224998E-2,-1.495729458E-1,-9.118802977E-1,1.212372803E0,1.524383665E0
7.967524999E-2,1.245347299E-1,-5.661794597E-1,1.066729771E0,1.214075979E0
8.972824999E-2,2.563656154E-1,-4.159726757E-1,1.016892782E0,1.128196582E0
9.978125000E-2,2.829162137E-1,-4.064646645E-1,9.216597658E-1,1.046284775E0
1.098342500E-1,3.914775199E-1,-3.477584732E-1,7.389231670E-1,9.056478625E-1
1.198882500E-1,5.385357244E-1,-2.352912270E-1,5.099315840E-1,7.780828416E-1
1.299412500E-1,5.461604936E-1,-1.565454581E-1,2.053202999E-1,6.041143855E-1
1.399942500E-1,4.745170453E-1,-1.148192887E-1,-3.065016890E-1,5.764487668E-1
1.500472500E-1,4.976948234E-1,-6.112036049E-2,-7.573676240E-1,9.083179805E-1
1.601002500E-1,5.147371182E-1,5.564517394E-2,-1.067574109E0,1.186492800E0
1.701532500E-1,5.631190270E-1,1.943379132E-1,-1.346795028E0,1.472659876E0
1.802062500E-1,6.626200725E-1,3.258802387E-1,-1.483022289E0,1.656688987E0
1.902592500E-1,6.795147251E-1,4.550288603E-1,-1.361254608E0,1.588019406E0
2.003122500E-1,5.188836712E-1,4.921235964E-1,-9.597836119E-1,1.196917073E0
2.103652500E-1,3.158519715E-1,4.882480618E-1,-5.267084152E-1,7.845829417E-1
2.204182500E-1,2.944306970E-1,4.969990048E-1,-9.772509992E-2,5.858734003E-1
2.304712500E-1,2.851323085E-1,4.585781202E-1,3.791697156E-1,6.598211871E-1
2.405252500E-1,2.379897170E-1,3.670250487E-1,8.143183351E-1,9.243705115E-1
2.505782500E-1,1.755984642E-1,2.515247056E-1,1.111726434E0,1.153271504E0
