"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.003841666E-2,-2.082778946E-1,1.418120827E-1,9.077919245E-2,2.678268283E-1
2.009141666E-2,-2.120826779E-1,9.830952913E-2,1.318646532E-1,2.683879888E-1
3.014441667E-2,-2.062498610E-1,5.316376179E-2,1.990246028E-1,2.915067465E-1
4.019741667E-2,-1.363003510E-1,4.754707262E-2,2.475950843E-1,2.866039699E-1
5.025141669E-2,-8.203533925E-2,2.645046473E-2,2.309913307E-1,2.465490192E-1
6.030441669E-2,-7.008706570E-2,2.574821413E-2,1.808204663E-1,1.956302848E-1
7.035741670E-2,-6.498537004E-2,4.129055187E-2,1.497629803E-1,1.683952442E-1
8.041141665E-2,-5.712729692E-4,5.789766759E-2,1.569667500E-1,1.673051908E-1
9.046441666E-2,4.378928639E-2,5.934105277E-2,1.376873106E-1,1.561942945E-1
1.005174167E-1,1.468287013E-2,4.801704258E-2,9.771983743E-2,1.098653252E-1
1.105704167E-1,-4.459751777E-2,4.578486800E-2,8.864203513E-2,1.092822178E-1
1.206244167E-1,-1.101157884E-1,4.148365617E-2,7.962738276E-2,1.420806133E-1
1.306774167E-1,-1.503870975E-1,3.826505631E-2,7.832579255E-2,1.738258422E-1
1.407304167E-1,-1.207672226E-1,3.145553514E-2,9.948862016E-2,1.595999947E-1
1.507834167E-1,-8.486495309E-2,3.967862070E-2,1.109468240E-1,1.452089906E-1
1.608374167E-1,-6.941046976E-2,5.910219401E-2,8.592366457E-2,1.252747332E-1
1.708904167E-1,-7.444031775E-2,6.691451266E-2,1.136570084E-1,1.514490953E-1
1.809434167E-1,-6.115376271E-2,6.789699107E-2,1.124589139E-1,1.449026964E-1
1.909975833E-1,-7.562569454E-2,6.520975694E-2,8.464253962E-2,1.309042306E-1
2.010505833E-1,-1.387126929E-1,5.746117294E-2,8.634875715E-2,1.732024984E-1
2.111035833E-1,-1.609505311E-1,7.980586901E-2,1.056784827E-1,2.084274260E-1
2.211565833E-1,-1.802866886E-1,1.072452441E-1,1.490402645E-1,2.573282590E-1
2.312105834E-1,-1.533214496E-1,1.396559219E-1,2.239670706E-1,3.052416946E-1
2.412635834E-1,-9.137063831E-2,1.049189293E-1,2.425132692E-1,2.795876625E-1
2.513165834E-1,-1.229312041E-1,9.243527010E-2,2.204160565E-1,2.687742511E-1
